"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"negative-influence-voting"
"01/20/2026 11:28:52:023 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","learning-rate","percent-option-B","confidence-threshold","influence-type","[step]","pref-A","pref-B"
"5","0.2","39","0.1","negative","5900","226","215"
"2","0.2","39","0.1","negative","3600","231","210"
"3","0.2","39","0.1","negative","6100","232","209"
"7","0.2","39","0.1","negative","6200","227","214"
"4","0.2","39","0.1","negative","5800","234","207"
"6","0.2","39","0.1","negative","6200","225","216"
"9","0.2","39","0.1","negative","6000","231","210"
"8","0.2","39","0.1","negative","6000","230","211"
"5","0.2","39","0.1","negative","6000","226","215"
"1","0.2","39","0.1","negative","3600","234","207"
"3","0.2","39","0.1","negative","6200","233","208"
"7","0.2","39","0.1","negative","6300","228","213"
"4","0.2","39","0.1","negative","5900","234","207"
"6","0.2","39","0.1","negative","6300","224","217"
"8","0.2","39","0.1","negative","6100","233","208"
"9","0.2","39","0.1","negative","6100","232","209"
"5","0.2","39","0.1","negative","6100","226","215"
"3","0.2","39","0.1","negative","6300","228","213"
"7","0.2","39","0.1","negative","6400","228","213"
"4","0.2","39","0.1","negative","6000","234","207"
"6","0.2","39","0.1","negative","6400","223","218"
"8","0.2","39","0.1","negative","6200","235","206"
"9","0.2","39","0.1","negative","6200","230","211"
"1","0.2","39","0.1","negative","3700","235","206"
"5","0.2","39","0.1","negative","6200","223","218"
"2","0.2","39","0.1","negative","3700","228","213"
"3","0.2","39","0.1","negative","6400","228","213"
"7","0.2","39","0.1","negative","6500","226","215"
"6","0.2","39","0.1","negative","6500","224","217"
"4","0.2","39","0.1","negative","6100","234","207"
"9","0.2","39","0.1","negative","6300","230","211"
"5","0.2","39","0.1","negative","6300","223","218"
"3","0.2","39","0.1","negative","6500","229","212"
"7","0.2","39","0.1","negative","6600","225","216"
"6","0.2","39","0.1","negative","6600","223","218"
"4","0.2","39","0.1","negative","6200","234","207"
"1","0.2","39","0.1","negative","3800","235","206"
"2","0.2","39","0.1","negative","3800","229","212"
"9","0.2","39","0.1","negative","6400","231","210"
"5","0.2","39","0.1","negative","6400","222","219"
"3","0.2","39","0.1","negative","6600","228","213"
"6","0.2","39","0.1","negative","6700","222","219"
"7","0.2","39","0.1","negative","6700","224","217"
"4","0.2","39","0.1","negative","6300","234","207"
"8","0.2","39","0.1","negative","6300","235","206"
"9","0.2","39","0.1","negative","6500","228","213"
"5","0.2","39","0.1","negative","6500","221","220"
"1","0.2","39","0.1","negative","3900","235","206"
"2","0.2","39","0.1","negative","3900","227","214"
"3","0.2","39","0.1","negative","6700","226","215"
"6","0.2","39","0.1","negative","6800","221","220"
"7","0.2","39","0.1","negative","6800","223","218"
"4","0.2","39","0.1","negative","6400","234","207"
"8","0.2","39","0.1","negative","6400","234","207"
"9","0.2","39","0.1","negative","6600","228","213"
"5","0.2","39","0.1","negative","6600","219","222"
"3","0.2","39","0.1","negative","6800","227","214"
"7","0.2","39","0.1","negative","6900","224","217"
